epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1528.49,1.54725,1.19229,0.01313,0.81542,0.73431,0.8023,0.45914,1.52782,1.00566,0.02065,0.0011882,0.0011882,0.0011882
43,1563.8,1.53464,1.1841,0.0132,0.79392,0.74173,0.81986,0.46815,1.52573,0.97401,0.02062,0.0011684,0.0011684,0.0011684
44,1599.51,1.51929,1.18646,0.01336,0.75565,0.75514,0.78958,0.45302,1.49305,1.02868,0.01926,0.0011486,0.0011486,0.0011486
45,1636.43,1.52188,1.17325,0.01273,0.75527,0.75067,0.80463,0.45149,1.53765,1.01098,0.02017,0.0011288,0.0011288,0.0011288
46,1672.94,1.50834,1.17414,0.01264,0.78987,0.73232,0.80151,0.47107,1.49705,0.97808,0.01872,0.001109,0.001109,0.001109
47,1709.48,1.51451,1.15215,0.01266,0.77256,0.7462,0.80075,0.45148,1.49621,0.96459,0.01905,0.0010892,0.0010892,0.0010892
48,1746.08,1.50061,1.12183,0.01255,0.80052,0.74531,0.81763,0.46784,1.49371,0.94557,0.01856,0.0010694,0.0010694,0.0010694
49,1782.37,1.50301,1.13886,0.0127,0.77416,0.72602,0.79233,0.46507,1.44898,0.9974,0.01844,0.0010496,0.0010496,0.0010496
50,1818.17,1.49194,1.12665,0.01255,0.76662,0.78552,0.81488,0.48051,1.44499,0.94778,0.01828,0.0010298,0.0010298,0.0010298
51,1853.7,1.49163,1.06842,0.01194,0.79024,0.75603,0.81571,0.47342,1.48201,0.94907,0.01963,0.00101,0.00101,0.00101
52,1889.13,1.48053,1.08569,0.01209,0.81093,0.72444,0.80878,0.47387,1.48744,0.94999,0.01945,0.0009902,0.0009902,0.0009902
53,1924.7,1.47739,1.05226,0.01227,0.80523,0.73637,0.81127,0.47093,1.50346,0.95573,0.01961,0.0009704,0.0009704,0.0009704
54,1960.67,1.46746,1.05515,0.01184,0.7902,0.75067,0.81,0.47069,1.50672,0.96601,0.01956,0.0009506,0.0009506,0.0009506
55,1997.28,1.45399,1.05231,0.01168,0.78753,0.75782,0.8137,0.48022,1.47932,0.9358,0.01835,0.0009308,0.0009308,0.0009308
56,2034.22,1.45012,1.04516,0.01186,0.80124,0.77094,0.822,0.46989,1.52193,0.92507,0.01922,0.000911,0.000911,0.000911
57,2070.42,1.45576,1.02084,0.01174,0.83782,0.75252,0.82456,0.48499,1.4937,0.91301,0.01876,0.0008912,0.0008912,0.0008912
58,2107.03,1.42676,1.01881,0.01143,0.78959,0.7713,0.82017,0.48803,1.4775,0.92089,0.01821,0.0008714,0.0008714,0.0008714
59,2143.7,1.41391,1.00864,0.01142,0.80939,0.76139,0.82301,0.48346,1.47331,0.8899,0.01823,0.0008516,0.0008516,0.0008516
60,2179.35,1.43186,0.99624,0.01152,0.81351,0.74848,0.81969,0.47283,1.51892,0.92607,0.01875,0.0008318,0.0008318,0.0008318
61,2214.73,1.40442,0.97776,0.01128,0.81917,0.76318,0.82833,0.49301,1.46518,0.93826,0.01829,0.000812,0.000812,0.000812
62,2250.14,1.3938,0.98411,0.01113,0.80809,0.75603,0.81076,0.48312,1.48924,0.93559,0.01849,0.0007922,0.0007922,0.0007922
63,2285.62,1.39193,0.95322,0.01114,0.8138,0.74992,0.82529,0.494,1.46615,0.89931,0.01807,0.0007724,0.0007724,0.0007724
64,2321.64,1.39779,0.96282,0.01098,0.82547,0.77301,0.83164,0.49554,1.47559,0.89482,0.01844,0.0007526,0.0007526,0.0007526
65,2358.12,1.37729,0.9409,0.01111,0.80389,0.75693,0.82339,0.48505,1.45625,0.90517,0.01818,0.0007328,0.0007328,0.0007328
66,2394.66,1.38066,0.95278,0.01103,0.79589,0.78406,0.82104,0.49185,1.46627,0.91829,0.01819,0.000713,0.000713,0.000713
67,2431.59,1.38085,0.94296,0.01089,0.80134,0.76782,0.82481,0.48783,1.48075,0.91832,0.01811,0.0006932,0.0006932,0.0006932
68,2468.06,1.35928,0.91247,0.01068,0.77828,0.77482,0.81879,0.48566,1.47317,0.94025,0.01842,0.0006734,0.0006734,0.0006734
